Time of Exp,Compound Name,Samp Size,Set Pt,Test Temp,Hot/Cold?,Sound?,Relative Humidity,Notes
1345,hexacosane,100,325,308,No,,,
+ TA-DA start time is: 2019/2/15 13:30:50
System start time is: 2019/02/15 13:30:51
time,t1,t2,t3,t4,pressure
1019996.00,313.50,314.00,312.25,315.25,762.04
1020335.00,312.75,314.00,312.25,315.25,762.04
1020676.00,313.75,314.25,312.50,315.00,762.04
1021015.00,313.25,314.00,312.50,315.25,762.04
1021354.00,313.00,314.00,312.50,315.25,762.04
1021692.00,313.75,314.00,312.50,315.00,762.04
1022031.00,nan,314.00,312.25,315.00,762.04
1022370.00,313.00,314.00,312.50,315.00,762.04
1022709.00,313.75,314.00,312.50,315.25,762.04
1023048.00,nan,314.00,312.25,315.25,762.04
1023386.00,313.00,314.00,312.25,315.25,762.04
1023725.00,313.75,314.00,312.50,315.25,762.04
1024064.00,nan,314.00,312.50,315.00,762.05
1024405.00,313.25,314.25,312.50,315.00,762.05
1024744.00,313.50,314.00,312.25,315.00,762.05
1025082.00,312.75,314.00,312.50,315.00,762.05
1025421.00,313.50,314.00,312.50,315.00,762.05
1025760.00,313.50,314.00,312.50,315.25,762.05
1026098.00,312.75,314.00,312.50,315.00,762.06
1026437.00,313.25,314.00,312.50,315.00,762.06
1026776.00,313.25,314.25,312.50,314.75,761.76
1027115.00,nan,314.00,312.50,315.00,762.06
1027454.00,313.25,314.25,312.50,314.75,762.06
1027792.00,313.50,314.00,312.50,315.00,762.36
1028134.00,313.00,314.25,312.50,315.00,762.06
1028472.00,313.75,314.25,312.50,315.00,762.06
1028813.00,312.75,314.00,312.25,315.00,762.06
1029151.00,313.25,314.25,312.50,315.00,761.76
1029490.00,313.50,314.25,312.50,314.75,761.76
1029829.00,312.75,314.25,312.50,315.00,761.76
1030168.00,313.25,314.25,312.50,314.75,761.76
1030506.00,313.50,314.25,312.50,314.75,761.76
1030845.00,312.75,314.00,312.50,315.00,761.76
1031183.00,313.00,314.25,312.50,314.75,761.46
1031524.00,313.25,314.25,312.50,314.75,761.76
1031863.00,313.00,314.25,312.50,315.00,761.75
1032201.00,313.50,314.25,312.50,315.00,761.46
1032540.00,313.25,314.25,312.50,314.75,761.46
1032879.00,nan,314.25,312.50,314.75,761.45
1033217.00,313.50,314.00,312.50,314.75,761.45
1033556.00,313.25,314.25,312.50,314.75,761.45
1033895.00,312.75,314.25,312.50,314.75,761.46
1034233.00,313.50,314.25,312.50,314.75,761.46
1034572.00,313.50,314.25,312.50,315.00,761.46
1034911.00,312.75,314.25,312.50,314.75,761.16
1035252.00,313.50,314.25,312.75,314.75,761.46
1035591.00,312.75,314.25,312.50,314.50,761.16
1035930.00,313.00,314.25,312.50,314.75,761.46
1036269.00,313.50,314.25,312.50,314.75,761.16
1036607.00,313.00,314.25,312.50,314.75,761.16
1036946.00,313.00,314.25,312.50,314.75,761.17
1037284.00,313.50,314.25,312.50,314.75,761.17
1037623.00,312.75,314.25,312.50,314.75,761.17
1037963.00,313.25,314.25,312.50,314.75,761.47
1038302.00,313.25,314.25,312.50,314.50,761.17
1038641.00,312.75,314.25,312.50,314.50,761.17
1038983.00,313.50,314.25,312.50,314.75,760.87
1039321.00,312.75,314.25,312.50,314.75,761.17
1039660.00,312.75,314.25,312.50,314.75,760.87
1039999.00,313.25,314.25,312.50,314.75,761.17
1040338.00,312.75,314.25,312.25,314.50,760.87
1040677.00,313.00,314.25,312.25,314.75,760.87
1041015.00,313.50,314.25,312.50,314.75,761.17
1041354.00,312.50,314.25,312.50,314.50,760.87
1041693.00,313.00,314.25,312.50,314.50,760.87
1042032.00,313.50,314.25,312.50,314.50,760.87
1042371.00,312.50,314.25,312.50,314.75,760.87
1042712.00,313.50,314.25,312.75,314.75,760.87
1043051.00,313.00,314.25,312.75,314.75,760.87
1043390.00,313.00,314.25,312.50,314.75,760.87
1043727.00,313.25,314.25,312.75,314.50,760.87
1044066.00,nan,314.25,312.50,314.50,760.88
1044405.00,312.75,314.25,312.50,314.50,760.88
1044744.00,313.75,314.25,312.50,314.50,760.88
1045083.00,312.75,314.25,312.50,314.50,760.87
1045421.00,312.75,314.25,312.50,314.50,760.57
1045760.00,313.50,314.25,312.50,314.50,760.57
1046099.00,312.75,314.25,312.50,314.75,760.86
1046440.00,313.50,314.25,312.50,314.50,760.86
1046780.00,313.00,314.25,312.50,314.50,760.56
1047119.00,312.75,314.25,312.50,314.50,760.52
1047458.00,313.75,314.25,312.75,314.50,760.52
1047797.00,312.75,314.25,312.50,314.50,760.52
1048136.00,313.00,314.50,312.75,314.50,760.51
1048474.00,313.50,314.50,312.50,314.50,760.51
1048813.00,312.50,314.25,312.50,314.25,760.50
1049152.00,313.00,314.50,312.50,314.50,760.50
1049491.00,313.25,314.25,312.50,314.50,760.50
1049828.00,312.50,314.25,312.50,314.25,760.21
1050170.00,313.75,314.25,312.50,314.50,760.21
1050509.00,312.75,314.50,312.50,314.25,760.50
1050848.00,312.75,314.25,312.50,314.50,760.21
1051186.00,313.25,314.25,312.75,314.50,760.51
1051525.00,312.75,314.50,312.50,314.25,760.21
1051864.00,313.00,314.25,312.50,314.50,760.21
1052203.00,313.25,314.50,312.75,314.25,760.51
1052542.00,312.50,314.25,312.50,314.50,760.51
1052880.00,313.00,314.25,312.50,314.50,760.21
1053219.00,313.50,314.25,312.50,314.50,760.21
1053558.00,312.75,314.50,312.50,314.50,760.21
1053899.00,313.25,314.50,312.75,314.25,760.21
